# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 29 13:59:35 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_vet_stat:   Vetting Status
# COLUMN koi_vet_date:   Date of Last Parameter Update
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_disp_prov:  Disposition Provenance
# COLUMN koi_comment:    Comment
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0:      Transit Epoch [BJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_longp:      Long. of Periastron [deg]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_ingress:    Ingress Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_limbdark_mod: Limb Darkening Model
# COLUMN koi_ldm_coeff4: Limb Darkening Coeff. 4
# COLUMN koi_ldm_coeff3: Limb Darkening Coeff. 3
# COLUMN koi_ldm_coeff2: Limb Darkening Coeff. 2
# COLUMN koi_ldm_coeff1: Limb Darkening Coeff. 1
# COLUMN koi_parm_prov:  Parameters Provenance
# COLUMN koi_max_sngle_ev: Maximum Single Event Statistic
# COLUMN koi_max_mult_ev: Maximum Multiple Event Statistic
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_quarters:   Quarters
# COLUMN koi_bin_oedp_sig: Odd-Even Depth Comparision Statistic
# COLUMN koi_trans_mod:  Transit Model
# COLUMN koi_model_dof:  Degrees of Freedom
# COLUMN koi_model_chisq: Chi-Square
# COLUMN koi_datalink_dvr: Link to DV Report
# COLUMN koi_datalink_dvs: Link to DV Summary
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN koi_sparprov:   Stellar Parameter Provenance
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_gmag:       g'-band [mag]
# COLUMN koi_rmag:       r'-band [mag]
# COLUMN koi_imag:       i'-band [mag]
# COLUMN koi_zmag:       z'-band [mag]
# COLUMN koi_jmag:       J-band [mag]
# COLUMN koi_hmag:       H-band [mag]
# COLUMN koi_kmag:       K-band [mag]
# COLUMN koi_fwm_stat_sig: FW Offset Significance [percent]
# COLUMN koi_fwm_sra:    FW Source &alpha;(OOT) [hrs]
# COLUMN koi_fwm_sdec:   FW Source &delta;(OOT) [deg]
# COLUMN koi_fwm_srao:   FW Source &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_sdeco:  FW Source &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_fwm_prao:   FW &Delta;&alpha;(OOT) [sec]
# COLUMN koi_fwm_pdeco:  FW &Delta;&delta;(OOT) [arcsec]
# COLUMN koi_dicco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
# COLUMN koi_dicco_msky: PRF &Delta;&theta;<sub>SQ</sub>(OOT) []arcsec
# COLUMN koi_dikco_mra:  PRF &Delta;&alpha;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_mdec: PRF &Delta;&delta;<sub>SQ</sub>(KIC) [arcsec]
# COLUMN koi_dikco_msky: PRF &Delta;&theta;<sub>SQ</sub>(KIC) [arcsec]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.8110,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,2.470613377,122.7633050,2454955.763,0,,0.8180,1.74319,,1.4231e+04,0.123871,1.83538,LS+MCMC,13.04,0.0354,84.41,1339.0,761.46,8.397700,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,544.1701000,6468.0400000,4304.30,1,432,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.15220,Mandel and Agol (2002 ApJ 580 171),,,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf,5820.00,4.457,-0.0600,0.9640,0.9710,,q1_q17_dr25_stellar,286.808470,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.920,9.846,0.000,19.120564040,49.31642961,-0.02320,0.10660,-1.200000e-04,7.800000e-04,-0.0090,-0.3000,0.3000,0.0150,-0.2700,0.2700
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE---CENT_SATURATED,2.204735417,121.3585417,2454954.359,0,,0.2240,3.88864,,6.6747e+03,0.075522,0.37936,LS+MCMC,16.10,0.0376,87.21,2048.0,4148.92,4.602000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3168,0.2958,q1_q17_dr25_koi,232.2700000,3862.1846000,5945.90,1,611,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.00000,Mandel and Agol (2002 ApJ 580 171),,,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,010/010666/010666592/dv/kplr010666592-001-20160209194854_dvs.pdf,6440.00,4.019,0.1400,1.9520,1.4490,,q1_q17_dr25_stellar,292.247280,47.969521,10.463,10.935,10.490,,,9.555,9.344,9.334,,19.483163025,47.96930831,0.39860,-0.75850,-1.754000e-03,,2.2200,-3.2900,3.9700,2.0200,-3.6700,4.1900
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9980,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.522498429,121.1194228,2454954.119,0,,0.6310,3.19843,,9.1457e+03,0.092086,0.65374,LS+MCMC,14.59,0.0473,85.20,1521.0,1264.67,7.541000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3050,0.3201,q1_q17_dr25_koi,130.8383200,1725.5824000,1741.50,1,384,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.66620,Mandel and Agol (2002 ApJ 580 171),,,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,006/006922/006922244/dv/kplr006922244-001-20160209194854_dvs.pdf,6225.00,4.169,-0.0400,1.4510,1.1320,,q1_q17_dr25_stellar,281.288120,42.451080,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.000,18.752527460,42.45106340,-0.55150,-0.05970,1.000000e-05,3.600000e-04,0.0140,-0.0130,0.0200,-0.0280,0.1760,0.1780
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.709214104,133.9831800,2454966.983,0,,0.0510,2.63020,,1.3110e+02,0.010424,1.77451,LS+MCMC,1.16,0.0465,89.73,1206.0,500.46,10.888000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2622,0.4035,q1_q17_dr25_koi,4.8657312,41.2887300,50.60,2,352,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.60500,Mandel and Agol (2002 ApJ 580 171),,,010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf,010/010984/010984090/dv/kplr010984090-002-20160209194854_dvs.pdf,5833.00,4.407,-0.0400,1.0220,0.9740,,q1_q17_dr25_stellar,295.648710,48.495560,12.772,13.169,12.740,12.602,12.564,11.698,11.402,11.367,0.009,19.709924000,48.49568500,0.36000,0.45000,-4.600000e-05,-5.000000e-05,0.2400,-0.1500,0.2900,0.1600,-0.1300,0.2100
15,10419211,K00742.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,11.521446064,170.8396880,2455003.840,0,,2.4830,3.63990,,1.7984e+04,1.625358,1.27376,LS+MCMC,150.51,0.0978,83.13,753.0,75.88,20.750000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2711,0.3858,q1_q17_dr25_koi,92.9015660,628.3708000,622.10,1,96,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.15400,Mandel and Agol (2002 ApJ 580 171),,,010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf,010/010419/010419211/dv/kplr010419211-001-20160209194854_dvs.pdf,5795.00,4.554,-0.2000,0.8480,0.9380,,q1_q17_dr25_stellar,297.079930,47.597401,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827,0.895,19.805330550,47.59738940,0.06800,-0.03800,0.000000e+00,1.000000e-04,0.0090,-0.0090,0.0130,0.1470,0.0370,0.1510
16,10464078,K00743.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---HAS_SEC_TCE,19.403937760,172.4842530,2455005.484,0,,0.8040,12.21550,,8.9187e+03,0.096729,0.03785,LS+MCMC,7.18,0.1230,84.93,523.0,17.69,9.099000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1908,0.5172,q1_q17_dr25_koi,49.4687650,320.9081700,214.70,1,71,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.80600,Mandel and Agol (2002 ApJ 580 171),,,010/010464/010464078/dv/kplr010464078-20160209194854_dvr.pdf,010/010464/010464078/dv/kplr010464078-001-20160209194854_dvs.pdf,5043.00,4.591,-0.5400,0.6800,0.6570,,q1_q17_dr25_stellar,289.258210,47.635319,15.487,16.229,15.440,15.169,14.985,13.950,13.429,13.287,0.048,19.283882340,47.63531870,0.03800,-0.00500,-3.800000e-04,-2.000000e-04,-0.0010,0.0090,0.0090,-0.1470,-0.0380,0.1520
17,10480982,K00744.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.221388942,184.5521637,2455017.552,0,,1.0650,4.79843,,7.4284e+04,0.476633,1.57359,LS+MCMC,49.29,0.1417,88.05,698.0,55.97,31.323000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2916,0.3447,q1_q17_dr25_koi,387.6580000,2174.4263000,2317.00,2,55,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.00030,Mandel and Agol (2002 ApJ 580 171),,,010/010480/010480982/dv/kplr010480982-20160209194854_dvr.pdf,010/010480/010480982/dv/kplr010480982-001-20160209194854_dvs.pdf,6117.00,4.496,-0.2200,0.9470,1.0250,,q1_q17_dr25_stellar,295.814540,47.690350,15.341,15.798,15.293,15.145,15.053,14.200,13.863,13.727,0.000,19.720965300,47.69027590,-0.12350,-0.26670,-5.000000e-04,-2.000000e-03,0.0030,0.0050,0.0060,-0.0180,-0.2030,0.2030
18,10485250,K00745.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---HAS_SEC_TCE,16.469837740,180.8817610,2455013.882,0,,0.2920,9.43780,,1.0479e+04,0.092509,0.19353,LS+MCMC,7.94,0.1147,88.81,595.0,29.61,14.050000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2075,0.4900,q1_q17_dr25_koi,43.1625000,258.8247000,303.40,1,66,1,q1_q17_dr25_tce,01111101110111011000000000000000,0.01120,Mandel and Agol (2002 ApJ 580 171),,,010/010485/010485250/dv/kplr010485250-20160209194854_dvr.pdf,010/010485/010485250/dv/kplr010485250-001-20160209194854_dvs.pdf,5152.00,4.517,-0.2000,0.7860,0.7410,,q1_q17_dr25_stellar,297.154420,47.668701,15.788,16.529,15.724,15.470,15.290,14.176,13.688,13.555,0.000,19.810292770,47.66863050,-0.09200,-0.25000,7.000000e-04,8.000000e-04,-0.0400,-0.0040,0.0400,0.0170,0.0010,0.0170
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,9.273581730,173.2581550,2455006.258,0,,0.3870,3.28750,,1.2883e+03,0.032563,1.93557,LS+MCMC,2.47,0.0759,88.93,649.0,41.85,20.650000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1263,0.6019,q1_q17_dr25_koi,9.6169240,71.4800500,87.20,1,144,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.05040,Mandel and Agol (2002 ApJ 580 171),,,010/010526/010526549/dv/kplr010526549-20160209194854_dvr.pdf,010/010526/010526549/dv/kplr010526549-001-20160209194854_dvs.pdf,4856.00,4.583,-0.3000,0.6960,0.6760,,q1_q17_dr25_stellar,288.138240,47.724449,15.302,16.111,15.240,14.955,14.765,13.672,13.120,13.033,0.037,19.209215400,47.72450600,-0.05000,0.20000,3.400000e-04,1.900000e-04,-0.0590,-0.0080,0.0590,0.0420,0.3440,0.3460
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,6.029303290,171.6029590,2455004.603,0,,0.2580,1.58210,,1.9127e+03,0.038838,13.09803,LS+MCMC,2.85,0.0585,89.50,678.0,50.04,29.310000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.0628,0.6908,q1_q17_dr25_koi,6.8768310,52.3693900,65.40,1,215,1,q1_q17_dr25_tce,11111111111111111000000000000000,1.00000,Mandel and Agol (2002 ApJ 580 171),,,010/010583/010583066/dv/kplr010583066-20160209194854_dvr.pdf,010/010583/010583066/dv/kplr010583066-001-20160209194854_dvs.pdf,4537.00,4.648,0.2100,0.6720,0.7610,,q1_q17_dr25_stellar,283.710880,47.863270,15.784,16.838,15.758,15.332,15.100,14.001,13.370,13.231,0.770,18.914050500,47.86320500,-0.32000,-0.24000,-1.700000e-04,-1.000000e-04,0.1100,0.0100,0.1100,-0.1900,-0.2400,0.3000
21,10583180,K00748.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,2.696370652,170.7376900,2455003.738,0,,0.0440,3.61290,,3.9790e+02,0.017673,0.51471,LS+MCMC,1.58,0.0349,89.56,1066.0,305.34,5.827000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1496,0.5746,q1_q17_dr25_koi,5.5084010,34.5709040,48.20,1,501,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.05050,Mandel and Agol (2002 ApJ 580 171),,,010/010583/010583180/dv/kplr010583180-20160209194854_dvr.pdf,010/010583/010583180/dv/kplr010583180-001-20160209194854_dvs.pdf,4989.00,4.504,0.1000,0.8190,0.7810,,q1_q17_dr25_stellar,283.765470,47.804298,15.269,16.070,15.204,14.926,14.789,13.732,13.212,13.140,0.000,18.917658000,47.80415000,-1.47000,-0.53000,4.700000e-04,1.900000e-04,1.0800,2.1900,2.4400,0.8900,2.3200,2.4900
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.349553819,171.8069400,2455004.807,0,,0.0920,3.02780,,8.3100e+02,0.025706,1.73782,LS+MCMC,2.55,0.0563,89.62,919.0,168.99,13.801500,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1860,0.5256,q1_q17_dr25_koi,6.0370364,48.5041960,60.60,3,247,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.77220,Mandel and Agol (2002 ApJ 580 171),,,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,010/010601/010601284/dv/kplr010601284-001-20160209194854_dvs.pdf,5185.00,4.440,0.1600,0.9100,0.8310,,q1_q17_dr25_stellar,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.002,19.491722400,47.88088300,-0.71000,-0.38000,5.500000e-04,3.000000e-04,0.0400,-0.0200,0.0400,-0.0200,-0.0300,0.0400
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9800,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.941052210,136.0866200,2454969.087,0,,0.2260,2.59840,,3.6330e+02,0.017105,1.85636,LS+MCMC,1.70,0.0460,88.88,1018.0,253.15,11.510000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1860,0.5256,q1_q17_dr25_koi,4.5118856,22.7491510,28.90,3,322,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.92300,Mandel and Agol (2002 ApJ 580 171),,,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,010/010601/010601284/dv/kplr010601284-002-20160209194854_dvs.pdf,5185.00,4.440,0.1600,0.9100,0.8310,,q1_q17_dr25_stellar,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.464,19.491748000,47.88110000,0.20000,0.38000,-8.000000e-05,-1.300000e-04,-0.2300,0.3500,0.4200,-0.2400,0.3400,0.4200
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9710,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.109048070,132.8031000,2454965.803,0,,0.0250,3.59600,,2.1740e+02,0.013127,1.53020,LS+MCMC,1.30,0.0743,89.92,800.0,97.03,17.460000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1860,0.5256,q1_q17_dr25_koi,4.4343820,9.7768520,14.10,3,141,3,q1_q17_dr25_tce,11111111111111111000000000000000,0.77420,Mandel and Agol (2002 ApJ 580 171),,,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,010/010601/010601284/dv/kplr010601284-003-20160209194854_dvs.pdf,5185.00,4.440,0.1600,0.9100,0.8310,,q1_q17_dr25_stellar,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.013,19.491847000,47.88095000,3.80000,-0.10000,-7.200000e-04,2.000000e-05,-0.1100,-0.1400,0.1800,-0.1500,-0.1500,0.2200
25,2306756,K00113.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,0,1,0,0,q1_q17_dr25_sup_koi,,386.603052800,166.3420790,2454999.342,0,,0.9765,6.80570,,2.4927e+04,0.240528,4.63335,MCMC,41.50,1.0719,89.95,297.0,1.84,332.000000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2251,0.4707,q1_q16_koi,,,994.00,1,,1,q1_q16_tce,,,Mandel and Agol (2002 ApJ 580 171),,,002/002306/002306756/dv/kplr002306756-20130815195353_dvr.pdf,002/002306/002306756/dv/kplr002306756-001-20130826182306_dvs.pdf,5543.00,4.081,0.4400,1.5800,1.1030,,stellar_q1_q16,292.273740,37.671558,12.394,12.933,12.322,12.163,12.094,11.151,10.808,10.720,0.002,19.484915120,37.67157860,-0.00800,0.06700,-7.000000e-04,6.000000e-04,0.0010,0.0370,0.0370,0.0010,0.1630,0.1630
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,21.676991930,171.5359400,2455004.536,0,,0.8960,3.45550,,8.5720e+02,0.032666,0.60007,LS+MCMC,2.95,0.1408,87.91,530.0,18.64,24.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1451,0.5820,q1_q17_dr25_koi,5.9119440,24.5407300,34.30,4,62,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.61830,Mandel and Agol (2002 ApJ 580 171),,,010/010662/010662202/dv/kplr010662202-20160209194854_dvr.pdf,010/010662/010662202/dv/kplr010662202-001-20160209194854_dvs.pdf,4954.00,4.500,0.1800,0.8280,0.7910,,q1_q17_dr25_stellar,290.465120,47.929180,15.377,16.172,15.343,15.036,14.826,13.810,13.298,13.201,0.103,19.364357000,47.92911000,0.54000,-0.26000,-6.400000e-04,0.000000e+00,-0.1000,-0.0400,0.1100,-0.2800,-0.2300,0.3600
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.996779680,171.7420800,2455004.742,0,,0.7100,2.17170,,9.3470e+02,0.030014,1.71827,LS+MCMC,2.78,0.0559,86.90,917.0,166.95,13.140000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1860,0.5256,q1_q17_dr25_koi,4.1325640,24.2833270,28.20,1,208,1,q1_q17_dr25_tce,01111101110111011000000000000000,0.03600,Mandel and Agol (2002 ApJ 580 171),,,010/010682/010682541/dv/kplr010682541-20160209194854_dvr.pdf,010/010682/010682541/dv/kplr010682541-001-20160209194854_dvs.pdf,5339.00,4.552,0.1800,0.8470,0.9310,,q1_q17_dr25_stellar,297.808260,47.946671,15.861,16.577,15.805,15.554,15.445,14.448,14.018,13.903,0.998,19.853891000,47.94662000,0.26000,-0.17000,2.000000e-05,1.000000e-05,-0.1400,0.1700,0.2200,-0.0600,0.1000,0.1100
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.280963604,171.8965900,2455004.897,0,,0.4240,2.87500,,7.5080e+02,0.025377,1.24482,LS+MCMC,2.30,0.0503,87.72,1012.0,247.87,10.640000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,6.7006826,52.9132420,61.80,1,311,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.43020,Mandel and Agol (2002 ApJ 580 171),,,011/011460/011460018/dv/kplr011460018-20160209194854_dvr.pdf,011/011460/011460018/dv/kplr011460018-001-20160209194854_dvs.pdf,5644.00,4.564,-0.1400,0.8310,0.9280,,q1_q17_dr25_stellar,294.265810,49.314091,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769,0.000,19.617710600,49.31410200,-0.33000,0.04000,7.300000e-04,6.000000e-05,0.0030,-0.0650,0.0660,-0.0150,0.1580,0.1580
29,11463211,K00770.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET,1.506354090,170.9980640,2455003.998,0,,0.8600,1.51550,,2.2117e+03,0.049899,0.84722,LS+MCMC,4.53,0.0250,79.38,1452.0,1054.12,4.670000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2711,0.3858,q1_q17_dr25_koi,9.7877320,130.6654000,181.10,1,882,1,q1_q17_dr25_tce,11111111111111111000000000000000,1.00000,Mandel and Agol (2002 ApJ 580 171),,,011/011463/011463211/dv/kplr011463211-20160209194854_dvr.pdf,011/011463/011463211/dv/kplr011463211-001-20160209194854_dvs.pdf,5714.00,4.563,-0.2000,0.8310,0.9260,,q1_q17_dr25_stellar,295.665220,49.351009,15.525,16.051,15.474,15.299,15.230,14.266,13.905,13.821,0.000,19.711035900,49.35118900,0.76900,0.64300,-1.740000e-03,-1.500000e-03,0.9980,0.8210,1.2920,0.8770,0.7340,1.1440
30,11465813,K00771.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,0,q1_q17_dr25_sup_koi,INDIV_TRANS_CHASES_MARSHALL---ALL_TRANS_CHASES---CENT_FEW_DIFFS,670.645531000,209.0435500,2455042.044,0,,0.7010,53.41200,,1.8091e+04,0.131705,0.02605,LS+MCMC,14.14,1.5155,89.53,196.0,0.35,85.240000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2111,0.4955,q1_q17_dr25_koi,70.6430200,96.9623600,642.70,1,3,1,q1_q17_dr25_tce,11100011111111111000000000000000,0.00010,Mandel and Agol (2002 ApJ 580 171),,,011/011465/011465813/dv/kplr011465813-20160209194854_dvr.pdf,011/011465/011465813/dv/kplr011465813-001-20160209194854_dvs.pdf,5520.00,4.466,0.4800,0.9830,1.0300,,q1_q17_dr25_stellar,296.698610,49.316479,15.207,15.533,14.917,15.068,14.960,13.678,13.317,13.254,0.000,19.779891600,49.31660100,-0.55100,0.43500,1.750000e-02,-4.900000e-03,-1.2860,0.2270,1.3060,-1.0470,0.3100,1.0920
